,Year,Date,RoundID,Stage,MatchID,Country,City,Stadium,Home_Team_Name,Home_Team_Initials,Half_Time_Home_Goals,Home_Team_Goals,Away_Team_Name,Away_Team_Initials,Half_Time_Away_Goals,Away_Team_Goals,Half_Time_Goals,Goals,Outcome_Of_The_Match,Win_Conditions,Attendance,Referee,Assistant_1,Assistant_2
222,1970.0,11 Jun 1970,250.0,Group 3,1813.0,England,Guadalajara ,Jalisco,England,ENG,0.0,1.0,Czechoslovakia,TCH,0.0,0.0,0.0,1.0,Home_Team_Win, ,49292.0,MACHIN Roger (FRA),EMSBERGER Gyula (HUN),MARSCHALL Ferdinand (AUT)
223,1970.0,11 Jun 1970,250.0,Group 1,1752.0,Mexico,Mexico City ,Estadio Azteca,Mexico,MEX,1.0,1.0,Belgium,BEL,0.0,0.0,1.0,1.0,Home_Team_Win, ,108192.0,COEREZZA Norberto Angel (ARG),LANDAUER Henry (USA),HORMAZABAL DIAZ Rafael (CHI)
224,1970.0,14 Jun 1970,251.0,Quarter-finals,1882.0,Italy,Toluca ,Luis Dosal,Italy,ITA,1.0,4.0,Mexico,MEX,1.0,1.0,2.0,5.0,Home_Team_Win, ,26851.0,SCHEURER Ruedi (SUI),DUNSTAN Keith (BER),LANDAUER Henry (USA)
225,1970.0,14 Jun 1970,251.0,Quarter-finals,1811.0,Germany FR,Leon ,Nou Camp - Estadio Le�n,Germany FR,FRG,0.0,3.0,England,ENG,0.0,2.0,0.0,5.0,Home_Team_Win,Germany FR win after extra time ,23357.0,COEREZZA Norberto Angel (ARG),VELASQUEZ Guillermo (COL),ORTIZ DE MENDIBIL Jose Maria (ESP)
226,1970.0,14 Jun 1970,251.0,Quarter-finals,1768.0,Brazil,Guadalajara ,Jalisco,Brazil,BRA,2.0,4.0,Peru,PER,1.0,2.0,3.0,6.0,Home_Team_Win, ,54233.0,LORAUX Vital (BEL),MARSCHALL Ferdinand (AUT),EMSBERGER Gyula (HUN)
227,1970.0,14 Jun 1970,251.0,Quarter-finals,1925.0,Uruguay,Mexico City ,Estadio Azteca,Uruguay,URU,0.0,1.0,Soviet Union,URS,0.0,0.0,0.0,1.0,Home_Team_Win,Uruguay win after extra time ,26085.0,VAN RAVENS Laurens (NED),DAVIDSON Bob (SCO),GLOECKNER Rudolf (GDR)
228,1970.0,17 Jun 1970,569.0,Semi-finals,1771.0,Brazil,Guadalajara ,Jalisco,Brazil,BRA,1.0,3.0,Uruguay,URU,1.0,1.0,2.0,4.0,Home_Team_Win, ,51261.0,ORTIZ DE MENDIBIL Jose Maria (ESP),BAKHRAMOV Tofik (URS),MARSCHALL Ferdinand (AUT)
229,1970.0,17 June 197,569.0,Semi-finals,1838.0,Italy,Mexico City ,Estadio Azteca,Italy,ITA,0.0,4.0,Germany FR,FRG,0.0,3.0,0.0,7.0,Home_Team_Win,Italy win after extra time ,102444.0,YAMASAKI MALDONADO Arturo (MEX),HORMAZABAL DIAZ Rafael (CHI),VELASQUEZ Guillermo (COL)
230,1970.0,20 Jun 1970,3477.0,Match for third place,1843.0,Germany FR,Mexico City ,Estadio Azteca,Germany FR,FRG,1.0,1.0,Uruguay,URU,0.0,0.0,1.0,1.0,Home_Team_Win, ,104403.0,SBARDELLA Antonio (ITA),MARSCHALL Ferdinand (AUT),AGUILAR ELIZALDE Abel (MEX)
231,1970.0,21 Jun 1970,3476.0,Final,1765.0,Brazil,Mexico City ,Estadio Azteca,Brazil,BRA,1.0,4.0,Italy,ITA,1.0,1.0,2.0,5.0,Home_Team_Win, ,107412.0,GLOECKNER Rudolf (GDR),SCHEURER Ruedi (SUI),COEREZZA Norberto Angel (ARG)
